,meter_sale_price,procedure_area,rooms_en,floor_bin,swimming_pool,balcony,elevator,metro,has_parking,area_name_en
398,17874.25,38.17,Studio,1-10,0,1,1,1,1,Al Barsha South Fourth
399,23696.48,98.11,2 B/R,Other,1,1,1,1,1,Al Khairan First
400,22328.28,109.99,2 B/R,1-10,1,1,1,1,1,Al Khairan First
401,17590.77,71.06,1 B/R,1-10,1,1,1,1,1,Al Khairan First
402,25489.4,91.72,2 B/R,1-10,0,1,1,1,1,Al Khairan First
403,22492.02,103.37,2 B/R,1-10,1,1,1,1,1,Al Khairan First
404,16738.63,150.55,3 B/R,21-30,1,1,1,1,1,Al Khairan First
405,20406.09,113.0,2 B/R,31-40,1,1,1,1,1,Al Khairan First
406,16507.37,102.19,2 B/R,Below 1st floor,1,1,1,1,1,Al Khairan First
407,21354.35,156.45,3 B/R,1-10,0,1,1,1,1,Al Khairan First
408,25656.04,71.09,1 B/R,1-10,0,1,1,0,1,Al Khairan First
409,22822.48,69.23,1 B/R,11-20,1,1,0,1,1,Al Khairan First
410,27833.81,173.49,3 B/R,Below 1st floor,0,1,1,1,1,Al Khairan First
411,17540.39,138.36,3 B/R,Below 1st floor,1,1,1,1,1,Al Khairan First
412,15179.11,65.88,1 B/R,21-30,0,1,1,0,1,Al Khairan First
413,18664.07,72.01,1 B/R,1-10,1,1,1,1,1,Al Khairan First
414,14715.35,108.73,1 B/R,21-30,0,1,1,1,1,Al Khairan First
415,27048.82,149.91,3 B/R,1-10,1,1,1,1,1,Al Khairan First
416,23994.74,135.02,2 B/R,11-20,1,1,1,0,1,Al Khairan First
417,20023.51,136.14,2 B/R,1-10,1,0,1,1,1,Business Bay
418,22130.6,91.11,1 B/R,31-40,1,1,1,1,1,Business Bay
419,13854.93,49.08,Studio,21-30,0,0,1,1,1,Business Bay
420,21794.77,79.4,1 B/R,Below 1st floor,1,1,1,1,1,Business Bay
421,18180.69,40.29,Studio,21-30,1,1,1,1,1,Business Bay
422,27431.95,94.78,1 B/R,1-10,1,1,1,1,1,Business Bay
423,25295.19,51.36,Studio,11-20,1,1,1,1,1,Business Bay
424,29348.34,78.71,1 B/R,Below 1st floor,1,1,1,1,1,Business Bay
425,19058.21,125.93,2 B/R,1-10,0,1,1,1,1,Business Bay
426,11622.66,59.84,1 B/R,1-10,1,1,1,1,1,Business Bay
427,24896.78,79.93,1 B/R,1-10,1,1,1,1,1,Business Bay
428,31464.1,42.62,Studio,11-20,1,1,1,0,1,Business Bay
429,24208.79,84.68,2 B/R,11-20,1,1,1,1,1,Business Bay
430,23836.55,70.48,1 B/R,Below 1st floor,1,1,1,1,1,Business Bay
431,23484.91,120.29,2 B/R,1-10,1,1,0,1,1,Business Bay
432,19990.53,156.59,2 B/R,Below 1st floor,1,1,1,1,1,Business Bay
433,18336.92,125.43,3 B/R,21-30,1,1,1,1,1,Business Bay
434,16318.91,45.53,1 B/R,Below 1st floor,1,1,1,1,1,Business Bay
435,21253.46,50.58,1 B/R,1-10,1,1,1,1,1,Business Bay
436,27753.37,65.96,1 B/R,Below 1st floor,1,1,1,1,1,Marsa Dubai
437,16085.79,55.95,1 B/R,Below 1st floor,1,0,0,1,1,Marsa Dubai
438,18073.38,165.99,3 B/R,21-30,1,1,0,1,1,Marsa Dubai
439,24663.14,83.12,1 B/R,41-50,1,0,1,1,1,Marsa Dubai
440,10374.8,136.5,2 B/R,1-10,1,1,0,1,1,Marsa Dubai
441,22370.49,127.4,2 B/R,1-10,1,1,0,1,1,Marsa Dubai
442,25237.4,72.29,1 B/R,Below 1st floor,1,1,1,0,1,Marsa Dubai
443,11807.02,66.1,1 B/R,1-10,0,1,1,0,1,Marsa Dubai
444,24801.59,120.96,2 B/R,11-20,1,1,1,1,1,Marsa Dubai
445,11043.81,109.81,1 B/R,1-10,1,1,0,1,1,Marsa Dubai
446,12397.4,116.96,2 B/R,21-30,1,1,1,1,1,Marsa Dubai
447,8932.87,145.53,3 B/R,41-50,1,1,0,1,1,Marsa Dubai
448,26288.12,133.14,2 B/R,71-80,1,0,1,1,1,Marsa Dubai
449,9519.83,107.67,1 B/R,21-30,1,1,0,1,1,Marsa Dubai
450,11532.97,116.91,2 B/R,51-60,1,1,0,1,1,Marsa Dubai
451,31656.43,68.54,1 B/R,Below 1st floor,0,1,1,0,1,Marsa Dubai
452,12189.15,60.48,1 B/R,21-30,1,1,0,1,1,Marsa Dubai
453,9269.03,110.09,2 B/R,11-20,0,1,1,1,1,Marsa Dubai
454,30254.92,98.41,1 B/R,1-10,1,1,1,0,1,Marsa Dubai
455,29872.27,97.08,2 B/R,21-30,1,1,1,1,1,Burj Khalifa
456,11445.01,132.11,2 B/R,11-20,0,1,1,1,1,Burj Khalifa
457,12392.97,66.57,1 B/R,11-20,1,0,1,1,1,Burj Khalifa
458,17026.51,93.56,1 B/R,11-20,1,1,1,1,1,Burj Khalifa
