Area,Model,Dataset,Date,Actual,Predicted
Al Hebiah First,XGBoost,Train,2023-09-01,9748.39,8099.953103027344
Al Hebiah First,XGBoost,Train,2023-10-01,7644.469999999999,10190.758103027343
Al Hebiah First,XGBoost,Train,2023-11-01,7582.835,8086.838103027343
Al Hebiah First,XGBoost,Train,2023-12-01,6646.36,8025.203103027344
Al Hebiah First,XGBoost,Train,2024-01-01,6754.27,7191.767653808593
Al Hebiah First,XGBoost,Train,2024-02-01,7116.71,7299.677653808594
Al Hebiah First,XGBoost,Train,2024-03-01,7894.56,7662.117653808594
Al Hebiah First,XGBoost,Train,2024-04-01,7673.96,8336.928103027345
Al Hebiah First,XGBoost,Train,2024-05-01,7675.695,8116.328103027344
Al Hebiah First,XGBoost,Train,2024-06-01,7370.21,8118.0631030273435
Al Hebiah First,XGBoost,Train,2024-07-01,7417.16,7915.617653808594
Al Hebiah First,XGBoost,Train,2024-08-01,9083.97,7962.567653808594
Al Hebiah First,XGBoost,Train,2024-09-01,19697.945,10581.7434375
Al Hebiah First,XGBoost,Train,2024-10-01,20236.25,20605.90380126953
Al Hebiah First,XGBoost,Train,2024-11-01,11717.99,20298.280151367188
Al Hebiah First,XGBoost,Train,2024-12-01,20021.15,13215.7634375
Al Hebiah First,XGBoost,Train,2025-01-01,13724.015,20083.18015136719
Al Hebiah First,XGBoost,Train,2025-02-01,20074.67,15221.7884375
Al Hebiah First,XGBoost,Test,2025-03-01,20182.25,20136.700151367186
Al Hebiah First,XGBoost,Test,2025-04-01,19105.885,20244.280151367188
Al Hebiah First,XGBoost,Test,2025-05-01,20774.12,20603.6584375
Al Hebiah First,XGBoost,Test,2025-06-01,20989.75,20836.150151367186
Al Hebiah First,XGBoost,Test,2025-07-01,20935.73,21051.780151367188
Al Hebiah First,XGBoost,Test,2025-08-01,20774.45,20997.760151367187
Al Hebiah First,XGBoost,Forecast,2025-09-01,,20836.48015136719
Al Hebiah First,XGBoost,Forecast,2025-10-01,,20898.510302734376
Al Hebiah First,XGBoost,Forecast,2025-11-01,,20960.540454101563
Al Hebiah First,XGBoost,Forecast,2025-12-01,,21022.57060546875
Al Hebiah First,XGBoost,Forecast,2026-01-01,,21084.60075683594
Al Hebiah First,XGBoost,Forecast,2026-02-01,,21146.630908203126
Al Hebiah Fourth,XGBoost,Train,2023-03-01,6311.86,6960.67265258789
Al Hebiah Fourth,XGBoost,Train,2023-04-01,6500.1,6418.42265258789
Al Hebiah Fourth,XGBoost,Train,2023-05-01,6962.58,6606.662652587891
Al Hebiah Fourth,XGBoost,Train,2023-06-01,7265.69,7069.142652587891
Al Hebiah Fourth,XGBoost,Train,2023-07-01,8044.15,7372.25265258789
Al Hebiah Fourth,XGBoost,Train,2023-08-01,7714.215,8150.71265258789
Al Hebiah Fourth,XGBoost,Train,2023-09-01,7930.51,7820.777652587891
Al Hebiah Fourth,XGBoost,Train,2023-10-01,8423.195,8037.072652587891
Al Hebiah Fourth,XGBoost,Train,2023-11-01,8084.41,8529.75765258789
Al Hebiah Fourth,XGBoost,Train,2023-12-01,8421.265,8190.9726525878905
Al Hebiah Fourth,XGBoost,Train,2024-01-01,9137.905,8527.82765258789
Al Hebiah Fourth,XGBoost,Train,2024-02-01,8962.564999999999,9244.467652587891
Al Hebiah Fourth,XGBoost,Train,2024-03-01,15004.02,9254.457150878905
Al Hebiah Fourth,XGBoost,Train,2024-04-01,14871.72,15090.189731140137
Al Hebiah Fourth,XGBoost,Train,2024-05-01,10487.065,14716.303755493163
Al Hebiah Fourth,XGBoost,Train,2024-06-01,14544.93,10778.957150878907
Al Hebiah Fourth,XGBoost,Train,2024-07-01,11197.37,14389.513755493164
Al Hebiah Fourth,XGBoost,Train,2024-08-01,13774.595,11489.262150878907
Al Hebiah Fourth,XGBoost,Train,2024-09-01,9724.96,13619.178755493163
Al Hebiah Fourth,XGBoost,Train,2024-10-01,10316.9,10016.852150878905
Al Hebiah Fourth,XGBoost,Train,2024-11-01,9027.99,10608.792150878906
Al Hebiah Fourth,XGBoost,Train,2024-12-01,9605.79,9319.882150878906
Al Hebiah Fourth,XGBoost,Train,2025-01-01,8862.74,9897.682150878907
Al Hebiah Fourth,XGBoost,Train,2025-02-01,9198.145,9154.632150878906
Al Hebiah Fourth,XGBoost,Test,2025-03-01,13433.225,9490.037150878907
Al Hebiah Fourth,XGBoost,Test,2025-04-01,10103.87,13725.117150878907
Al Hebiah Fourth,XGBoost,Test,2025-05-01,10468.16,10395.762150878907
Al Hebiah Fourth,XGBoost,Test,2025-06-01,12974.98,10760.052150878906
Al Hebiah Fourth,XGBoost,Test,2025-07-01,10931.105,13266.872150878906
Al Hebiah Fourth,XGBoost,Test,2025-08-01,13006.39,11222.997150878906
Al Hebiah Fourth,XGBoost,Forecast,2025-09-01,,13298.282150878906
Al Hebiah Fourth,XGBoost,Forecast,2025-10-01,,13590.174301757812
Al Hebiah Fourth,XGBoost,Forecast,2025-11-01,,13882.066452636718
Al Hebiah Fourth,XGBoost,Forecast,2025-12-01,,13726.650208129882
Al Hebiah Fourth,XGBoost,Forecast,2026-01-01,,14018.542359008788
Al Hebiah Fourth,XGBoost,Forecast,2026-02-01,,14104.712090148925
Al Khairan First,XGBoost,Train,2023-03-01,21699.33,20977.06884765625
Al Khairan First,XGBoost,Train,2023-04-01,22062.49,21971.91059692383
Al Khairan First,XGBoost,Train,2023-05-01,20887.21,22150.917658081056
Al Khairan First,XGBoost,Train,2023-06-01,21680.22,21159.790596923827
Al Khairan First,XGBoost,Train,2023-07-01,22601.0,22037.91027709961
Al Khairan First,XGBoost,Train,2023-08-01,22481.63,22809.20916748047
Al Khairan First,XGBoost,Train,2023-09-01,22450.72,22388.12104309082
Al Khairan First,XGBoost,Train,2023-10-01,20857.22,22297.601805419923
Al Khairan First,XGBoost,Train,2023-11-01,21488.465,20933.81017944336
Al Khairan First,XGBoost,Train,2023-12-01,21311.54,21613.14241394043
Al Khairan First,XGBoost,Train,2024-01-01,21929.56,21672.05434326172
Al Khairan First,XGBoost,Train,2024-02-01,23659.87,22354.445803222658
Al Khairan First,XGBoost,Train,2024-03-01,23266.86,23901.80229675293
Al Khairan First,XGBoost,Train,2024-04-01,23537.19,23691.745803222657
Al Khairan First,XGBoost,Train,2024-05-01,23328.165,23576.8717779541
Al Khairan First,XGBoost,Train,2024-06-01,25107.64,23941.117697753907
Al Khairan First,XGBoost,Train,2024-07-01,26140.93,25506.01969970703
Al Khairan First,XGBoost,Train,2024-08-01,27600.12,26635.30060546875
Al Khairan First,XGBoost,Train,2024-09-01,26735.545,27049.83044921875
Al Khairan First,XGBoost,Train,2024-10-01,25348.605,26185.25544921875
Al Khairan First,XGBoost,Train,2024-11-01,23620.68,24916.55064819336
Al Khairan First,XGBoost,Train,2024-12-01,24426.94,23626.66649597168
Al Khairan First,XGBoost,Train,2025-01-01,23477.93,24394.811543884276
Al Khairan First,XGBoost,Train,2025-02-01,23943.81,23839.981391601563
Al Khairan First,XGBoost,Test,2025-03-01,23037.94,23911.68154388428
Al Khairan First,XGBoost,Test,2025-04-01,23682.65,23650.892697753905
Al Khairan First,XGBoost,Test,2025-05-01,25455.88,23650.52154388428
Al Khairan First,XGBoost,Test,2025-06-01,25760.45,25865.527247314454
Al Khairan First,XGBoost,Test,2025-07-01,25109.32,25728.321543884278
Al Khairan First,XGBoost,Test,2025-08-01,24636.63,25077.191543884277
Al Khairan First,XGBoost,Forecast,2025-09-01,,24086.34044921875
Al Khairan First,XGBoost,Forecast,2025-10-01,,23642.011134033204
Al Khairan First,XGBoost,Forecast,2025-11-01,,23315.91698730469
Al Khairan First,XGBoost,Forecast,2025-12-01,,23507.450266723634
Al Khairan First,XGBoost,Forecast,2026-01-01,,23869.501658325196
Al Khairan First,XGBoost,Forecast,2026-02-01,,24363.872263793946
Al Merkadh,XGBoost,Train,2023-03-01,19375.085,19040.9687689209
Al Merkadh,XGBoost,Train,2023-04-01,18064.19,19331.478295288085
Al Merkadh,XGBoost,Train,2023-05-01,18937.64,18020.583295288085
Al Merkadh,XGBoost,Train,2023-06-01,16991.07,18894.033295288085
Al Merkadh,XGBoost,Train,2023-07-01,19644.19,17189.29427368164
Al Merkadh,XGBoost,Train,2023-08-01,19913.19,19629.151708068846
Al Merkadh,XGBoost,Train,2023-09-01,19918.45,19898.151708068846
Al Merkadh,XGBoost,Train,2023-10-01,18800.53,19903.41170806885
Al Merkadh,XGBoost,Train,2023-11-01,18619.425000000003,18998.75427368164
Al Merkadh,XGBoost,Train,2023-12-01,20739.305,18817.649273681644
