Area,Model,Dataset,RMSE,MAE,MAPE
Madinat Dubai Almelaheyah,ARIMA,Train,1589.9975208768858,1172.1646428571428,5.052551642770413
Madinat Dubai Almelaheyah,ARIMA,Test,3155.6257711872704,2804.4562500000006,9.413824096712393
Madinat Dubai Almelaheyah,SARIMA,Train,3113.4432203913557,1814.6764351476327,7.7879549778472414
Madinat Dubai Almelaheyah,SARIMA,Test,2123.1088302173494,1849.2143750000018,6.378388222287157
Madinat Dubai Almelaheyah,Prophet,Train,253.35725691184814,195.92122887938422,0.9320351745609823
Madinat Dubai Almelaheyah,Prophet,Test,2312.6063530057913,1763.6240589513168,6.22586235559964
Marsa Dubai,ARIMA,Train,1877.591679344276,1372.4089285714288,8.231073300444496
Marsa Dubai,ARIMA,Test,1398.8936858639404,1156.6925,5.904839604329956
Marsa Dubai,SARIMA,Train,3013.061363535653,2071.9738566086603,12.965743718904562
Marsa Dubai,SARIMA,Test,1872.6942609988228,1599.8282025485587,8.12958334627154
Marsa Dubai,Prophet,Train,1216.1738526672416,947.1081572620718,5.867748424905886
Marsa Dubai,Prophet,Test,2903.8046791681004,2102.0744154911354,10.177500722238507
Me'Aisem First,ARIMA,Train,1760.1744433842534,1051.1384151760208,11.600577312861411
Me'Aisem First,ARIMA,Test,989.6156352524226,732.8236369548958,5.636936647439687
Me'Aisem First,SARIMA,Train,1655.032186483998,1172.406600134663,12.105507268370712
Me'Aisem First,SARIMA,Test,736.4802361681286,641.0886020860219,4.605173755831666
Me'Aisem First,Prophet,Train,550.8053911066036,450.7624458523393,4.781744854940898
Me'Aisem First,Prophet,Test,1561.1969960894016,1256.503384217406,9.670438073654617
Nadd Hessa,ARIMA,Train,1229.005854447799,930.3855357142858,11.677206499004598
Nadd Hessa,ARIMA,Test,4596.944022061354,4251.069375,28.515383661043476
Nadd Hessa,SARIMA,Train,1399.4070534530852,1039.685449249405,13.353138197503364
Nadd Hessa,SARIMA,Test,5002.626121693035,4718.406591147022,31.901314167725424
Nadd Hessa,Prophet,Train,751.7357617278727,483.71452573844147,6.129362655294654
Nadd Hessa,Prophet,Test,5637.317178901996,5432.7224219954805,37.154667609192934
Palm Jumeirah,ARIMA,Train,2559.616263896069,1868.4822584977221,8.845158801310024
Palm Jumeirah,ARIMA,Test,2328.0707418031634,2245.581133293792,9.9420043920915
Palm Jumeirah,SARIMA,Train,3940.9394423250696,2546.1774727785496,12.623127865208158
Palm Jumeirah,SARIMA,Test,739.8406029228491,634.7136632282359,2.7913113349809877
Palm Jumeirah,Prophet,Train,2245.5150726285474,1745.7675284747947,8.356377684681405
Palm Jumeirah,Prophet,Test,4434.45662995223,4217.4384238387465,18.71774029718217
Wadi Al Safa 5,ARIMA,Train,1554.4558666580083,1065.4285714285716,14.205812726353924
Wadi Al Safa 5,ARIMA,Test,1622.901184641066,1442.511875,10.213842932423818
Wadi Al Safa 5,SARIMA,Train,2039.2564852627916,1516.3034763064911,19.91260689775821
Wadi Al Safa 5,SARIMA,Test,1942.6825591407626,1434.4218410406327,10.468550403633133
Wadi Al Safa 5,Prophet,Train,224.59523326463642,155.6260410374868,2.030890463665554
Wadi Al Safa 5,Prophet,Test,5507.378310307092,5096.998321990484,36.670130664696515
