area_name_en,forecast_quarter,forecast_price,yhat_lower,yhat_upper,growth_factor,growth_factor_lower,growth_factor_upper
Al Hebiah Fourth,2025-03-31,11251.009555222608,5662.877403652075,16839.14170679314,0.9150635873145364,0.46057137237990453,1.369555802249168
Al Hebiah Fourth,2025-06-30,11001.925936578915,4411.679029445384,17592.172843712448,0.8948051964120433,0.35880929786346905,1.4308010949606178
Al Khairan First,2024-09-30,23682.106301141022,22438.102639875426,24926.10996240662,1.023413597046487,0.9696544319821243,1.0771727621108498
Al Khairan First,2024-12-31,23929.253263411094,22596.498997738032,25262.007529084156,1.0340939629919663,0.9764994728876042,1.0916884530963284
Al Khairan First,2025-03-31,24422.741574481082,23085.358175479858,25760.124973482307,1.0554198805902755,0.9976253441754063,1.1132144170051448
Al Khairan First,2025-06-30,25291.38339419582,23864.12775595099,26718.639032440646,1.0929579204062876,1.0312795879105567,1.1546362529020184
Al Merkadh,2024-09-30,19020.482132752993,17280.303182606698,20760.66108289929,1.0,0.9085102607809434,1.0914897392190566
Al Merkadh,2024-12-31,19020.482132752993,16559.497460499926,21481.46680500606,1.0,0.8706139699784324,1.1293860300215675
Al Merkadh,2025-03-31,19020.482132752993,16006.403776837738,22034.56048866825,1.0,0.841535123301367,1.158464876698633
Al Merkadh,2025-06-30,19020.482132752993,15540.124232460399,22500.840033045588,1.0,0.8170205215618868,1.1829794784381131
Al Thanyah Fifth,2024-09-30,15553.805135135135,12381.207764404433,18726.402505865837,1.0,0.7960243591091424,1.2039756408908577
Al Thanyah Fifth,2024-12-31,15553.805135135135,11067.074905498554,20040.535364771717,1.0,0.711534882258405,1.288465117741595
Al Thanyah Fifth,2025-03-31,15553.805135135135,10058.705297070126,21048.904973200144,1.0,0.6467038264706108,1.3532961735293894
Al Thanyah Fifth,2025-06-30,15553.805135135135,9208.61039367373,21898.99987659654,1.0,0.5920487182182846,1.4079512817817152
Al Warsan First,2024-09-30,6547.779748628724,5783.315153903886,7312.244343353561,0.999740492418375,0.8830190632153418,1.1164619216214082
Al Warsan First,2024-12-31,6310.497380792557,5219.394654586022,7401.6001069990925,0.9635112971232207,0.7969174869075977,1.1301051073388437
Al Warsan First,2025-03-31,6069.49453002643,4867.823730857886,7271.165329194973,0.9267140440162237,0.7432382701499542,1.1101898178824932
Al Warsan First,2025-06-30,5913.869615950431,4692.56907996958,7135.170151931281,0.9029526265275719,0.7164797080565395,1.0894255449986041
Al Yelayiss 2,2024-09-30,11920.41341740227,10052.69874774232,13788.128087062218,1.0,0.8433179618641979,1.156682038135802
Al Yelayiss 2,2024-12-31,11920.41341740227,9279.066000925986,14561.760833878552,1.0,0.7784181366880903,1.2215818633119095
Al Yelayiss 2,2025-03-31,11920.41341740227,8685.436715509517,15155.390119295022,1.0,0.7286187493153465,1.2713812506846536
Al Yelayiss 2,2025-06-30,11920.41341740227,8184.984078082374,15655.842756722164,1.0,0.6866359237283961,1.313364076271604
Burj Khalifa,2024-09-30,21240.129893276415,18250.040083606003,24230.219702946826,1.0,0.8592245045254207,1.1407754954745792
Burj Khalifa,2024-12-31,21240.129893276415,17011.504331726934,25468.755454825896,1.0,0.8009133850500577,1.1990866149499424
Burj Khalifa,2025-03-31,21240.129893276415,16061.14242373331,26419.117362819517,1.0,0.7561696893773461,1.2438303106226538
Burj Khalifa,2025-06-30,21240.129893276415,15259.950273935596,27220.309512617234,1.0,0.7184490090508415,1.2815509909491585
Business Bay,2024-09-30,24016.507804714605,21353.077846923028,26679.937762506182,1.036478366260858,0.9215329481447355,1.1514237843769806
Business Bay,2024-12-31,24808.842743256457,21557.31110051948,28060.374385993433,1.0706730972062972,0.9303470251431506,1.2109991692694437
Business Bay,2025-03-31,25601.177681798312,21852.70373799425,29349.651625602375,1.1048678281517366,0.9430952598484157,1.2666403964550572
Business Bay,2025-06-30,26393.512620340167,22206.6694430721,30580.355797608234,1.139062559097176,0.9583713274055583,1.3197537907887933
Hadaeq Sheikh Mohammed Bin Rashid,2024-09-30,24325.062186730334,23392.63431881363,25257.490054647038,1.053653705244773,1.013265069427025,1.0940423410625206
Hadaeq Sheikh Mohammed Bin Rashid,2024-12-31,25332.11800794798,24378.40314106945,26285.832874826505,1.0972748926961713,1.0559641985849035,1.1385855868074393
Hadaeq Sheikh Mohammed Bin Rashid,2025-03-31,26302.016193301217,25345.858144082034,27258.1742425204,1.1392865763195374,1.0978700543955364,1.1807030982435385
Hadaeq Sheikh Mohammed Bin Rashid,2025-06-30,27265.95322728686,26309.019316233575,28222.887138340146,1.1810400493295956,1.1395899205153024,1.2224901781438888
Jabal Ali First,2024-09-30,12762.720916428138,11569.214311295616,13956.227521560659,1.0332943720610852,0.9366657874374305,1.1299229566847402
Jabal Ali First,2024-12-31,13157.80780172833,11707.358503461568,14608.257099995091,1.0652813643121142,0.9478502062798313,1.1827125223443973
Jabal Ali First,2025-03-31,13552.894687028522,11884.617636538966,15221.171737518078,1.0972683565631431,0.9622014457846878,1.2323352673415986
Jabal Ali First,2025-06-30,13947.981572328714,12087.203921039414,15808.759223618013,1.129255348814172,0.978603220061647,1.2799074775666974
Madinat Al Mataar,2024-09-30,13022.779025270758,10562.513347519849,15483.044703021667,1.0,0.8110798261279906,1.1889201738720094
Madinat Al Mataar,2024-12-31,13022.779025270758,9543.437936754388,16502.12011378713,1.0,0.732826527904321,1.2671734720956789
Madinat Al Mataar,2025-03-31,13022.779025270758,8761.473871288305,17284.084179253212,1.0,0.6727806602789334,1.3272193397210668
Madinat Al Mataar,2025-06-30,13022.779025270758,8102.247669768939,17943.31038077258,1.0,0.622159652255981,1.377840347744019
Madinat Dubai Almelaheyah,2024-09-30,24691.759671994107,19990.32473919609,29393.194604792123,0.9916541288307382,0.802838207062871,1.1804700505986054
Madinat Dubai Almelaheyah,2024-12-31,24606.17515553384,18703.149803156746,30509.200507910937,0.9882169400584829,0.751143538201396,1.2252903419155698
Madinat Dubai Almelaheyah,2025-03-31,24520.88728498116,17628.881245035653,31412.893324926667,0.9847916649830626,0.7079994745426964,1.2615838554234289
Madinat Dubai Almelaheyah,2025-06-30,24435.895032126777,16685.65519864858,32186.134865604974,0.9813782623102159,0.6701182536112724,1.2926382710091593
Marsa Dubai,2024-09-30,18839.17754361031,16910.45327122917,20767.90181599145,0.9980470974882663,0.8958686633475437,1.1002255316289888
Marsa Dubai,2024-12-31,18057.767686526327,14763.01702890552,21352.518344147134,0.9566501820440513,0.7821034788679723,1.1311968852201304
Marsa Dubai,2025-03-31,17004.18530342527,13041.965500644586,20966.405106205955,0.900834325062788,0.6909269676624096,1.1107416824631664
Marsa Dubai,2025-06-30,16152.190404953904,12072.369332009315,20232.011477898493,0.8556980109362424,0.63956046614704,1.071835555725445
Me'Aisem First,2024-09-30,10120.79443134855,8933.83568406423,11307.75317863287,0.9467373898933105,0.8357047793667812,1.0577700004198398
Me'Aisem First,2024-12-31,9388.674909379019,7488.163523478414,11289.186295279622,0.8782521607918815,0.7004711376562985,1.0560331839274644
Me'Aisem First,2025-03-31,9184.75354581019,7205.464325424147,11164.042766196233,0.8591765851739591,0.6740263854477343,1.0443267849001838
Me'Aisem First,2025-06-30,9184.75354581019,7205.464325424147,11164.042766196233,0.8591765851739591,0.6740263854477343,1.0443267849001838
Nadd Hessa,2024-09-30,8579.785711009174,6967.122529329167,10192.44889268918,1.0,0.8120392238222555,1.1879607761777446
Nadd Hessa,2024-12-31,8579.785711009174,6299.135567937561,10860.435854080786,1.0,0.7341833211352597,1.2658166788647403
Nadd Hessa,2025-03-31,8579.785711009174,5786.571144843723,11373.000277174624,1.0,0.6744423858300644,1.3255576141699354
Nadd Hessa,2025-06-30,8579.785711009174,5354.459347649161,11805.112074369186,1.0,0.6240784476445108,1.375921552355489
Palm Jumeirah,2022-03-31,17232.396704248258,16039.587574102614,18425.205834393902,1.0414800376788742,0.9693898392503798,1.1135702361073687
Palm Jumeirah,2022-06-30,17262.344732363566,14576.757867718146,19947.931597008985,1.0432900165219363,0.8809803182841242,1.2055997147597481
Palm Jumeirah,2022-09-30,17203.775510361967,13481.929618265518,20925.621402458415,1.0397502491533026,0.814811822626714,1.264688675679891
Palm Jumeirah,2022-12-31,17145.405007237732,12623.57823292258,21667.231781552884,1.036222491822938,0.762935357124484,1.309509626521392
Wadi Al Safa 5,2024-09-30,9720.643181866133,7285.95286977182,12155.333493960447,0.9186855176825227,0.6885860594557688,1.1487849759092768
Wadi Al Safa 5,2024-12-31,8125.35447080008,5219.4588387247795,11031.25010287538,0.7679168280023151,0.4932843594363844,1.0425492965682457
Wadi Al Safa 5,2025-03-31,8125.17087931244,5217.357326450743,11032.984432174137,0.7678994770063254,0.49308574820714074,1.0427132058055102
Wadi Al Safa 5,2025-06-30,8124.98729197303,5215.2571690875575,11034.717414858502,0.7678821264023797,0.49288726502878355,1.042876987775976
