Area,Date,Actual,ARIMA_Fitted,ARIMA_Forecast,SARIMA_Fitted,SARIMA_Forecast,Prophet_Fitted,Prophet_Forecast
Hadaeq Sheikh Mohammed Bin Rashid,2025-03-01,,,,,,,
Hadaeq Sheikh Mohammed Bin Rashid,2025-04-01,,,,,,,
Hadaeq Sheikh Mohammed Bin Rashid,2025-05-01,,,,,,,
Hadaeq Sheikh Mohammed Bin Rashid,2025-06-01,,,,,,,
Hadaeq Sheikh Mohammed Bin Rashid,2025-07-01,,,,,,,
Hadaeq Sheikh Mohammed Bin Rashid,2025-08-01,,,,,,,
Hadaeq Sheikh Mohammed Bin Rashid,2025-09-01,,,,,,,
Hadaeq Sheikh Mohammed Bin Rashid,2025-10-01,,,,,,,
Hadaeq Sheikh Mohammed Bin Rashid,2025-11-01,,,,,,,
Hadaeq Sheikh Mohammed Bin Rashid,2025-12-01,,,,,,,
Hadaeq Sheikh Mohammed Bin Rashid,2026-01-01,,,,,,,
Hadaeq Sheikh Mohammed Bin Rashid,2026-02-01,,,,,,,
Jabal Ali First,2025-01-01,,,,,,,
Jabal Ali First,2025-02-01,,,,,,,
Jabal Ali First,2025-03-01,,,,,,,
Jabal Ali First,2025-04-01,,,,,,,
Jabal Ali First,2025-05-01,,,,,,,
Jabal Ali First,2025-06-01,,,,,,,
Jabal Ali First,2025-07-01,,,,,,,
Jabal Ali First,2025-08-01,,,,,,,
Jabal Ali First,2025-09-01,,,,,,,
Jabal Ali First,2025-10-01,,,,,,,
Jabal Ali First,2025-11-01,,,,,,,
Jabal Ali First,2025-12-01,,,,,,,
Jabal Ali First,2026-01-01,,,,,,,
Jabal Ali First,2026-02-01,,,,,,,
Madinat Al Mataar,2025-01-01,,,,,,,
Madinat Al Mataar,2025-02-01,,,,,,,
Madinat Al Mataar,2025-03-01,,,,,,,
Madinat Al Mataar,2025-04-01,,,,,,,
Madinat Al Mataar,2025-05-01,,,,,,,
Madinat Al Mataar,2025-06-01,,,,,,,
Madinat Al Mataar,2025-07-01,,,,,,,
Madinat Al Mataar,2025-08-01,,,,,,,
Madinat Al Mataar,2025-09-01,,,,,,,
Madinat Al Mataar,2025-10-01,,,,,,,
Madinat Al Mataar,2025-11-01,,,,,,,
Madinat Al Mataar,2025-12-01,,,,,,,
Madinat Al Mataar,2026-01-01,,,,,,,
Madinat Al Mataar,2026-02-01,,,,,,,
Madinat Dubai Almelaheyah,2025-01-01,,,,,,,
Madinat Dubai Almelaheyah,2025-02-01,,,,,,,
Madinat Dubai Almelaheyah,2025-03-01,,,,,,,
Madinat Dubai Almelaheyah,2025-04-01,,,,,,,
Madinat Dubai Almelaheyah,2025-05-01,,,,,,,
Madinat Dubai Almelaheyah,2025-06-01,,,,,,,
Madinat Dubai Almelaheyah,2025-07-01,,,,,,,
Madinat Dubai Almelaheyah,2025-08-01,,,,,,,
Madinat Dubai Almelaheyah,2025-09-01,,,,,,,
Madinat Dubai Almelaheyah,2025-10-01,,,,,,,
Madinat Dubai Almelaheyah,2025-11-01,,,,,,,
Madinat Dubai Almelaheyah,2025-12-01,,,,,,,
Madinat Dubai Almelaheyah,2026-01-01,,,,,,,
Madinat Dubai Almelaheyah,2026-02-01,,,,,,,
Marsa Dubai,2025-01-01,,,,,,,
Marsa Dubai,2025-02-01,,,,,,,
Marsa Dubai,2025-03-01,,,,,,,
Marsa Dubai,2025-04-01,,,,,,,
Marsa Dubai,2025-05-01,,,,,,,
Marsa Dubai,2025-06-01,,,,,,,
Marsa Dubai,2025-07-01,,,,,,,
Marsa Dubai,2025-08-01,,,,,,,
Marsa Dubai,2025-09-01,,,,,,,
Marsa Dubai,2025-10-01,,,,,,,
Marsa Dubai,2025-11-01,,,,,,,
Marsa Dubai,2025-12-01,,,,,,,
Marsa Dubai,2026-01-01,,,,,,,
Marsa Dubai,2026-02-01,,,,,,,
Me'Aisem First,2025-01-01,,,,,,,
Me'Aisem First,2025-02-01,,,,,,,
Me'Aisem First,2025-03-01,,,,,,,
Me'Aisem First,2025-04-01,,,,,,,
Me'Aisem First,2025-05-01,,,,,,,
Me'Aisem First,2025-06-01,,,,,,,
Me'Aisem First,2025-07-01,,,,,,,
Me'Aisem First,2025-08-01,,,,,,,
Me'Aisem First,2025-09-01,,,,,,,
Me'Aisem First,2025-10-01,,,,,,,
Me'Aisem First,2025-11-01,,,,,,,
Me'Aisem First,2025-12-01,,,,,,,
Me'Aisem First,2026-01-01,,,,,,,
Me'Aisem First,2026-02-01,,,,,,,
Nadd Hessa,2025-01-01,,,,,,,
Nadd Hessa,2025-02-01,,,,,,,
Nadd Hessa,2025-03-01,,,,,,,
Nadd Hessa,2025-04-01,,,,,,,
Nadd Hessa,2025-05-01,,,,,,,
Nadd Hessa,2025-06-01,,,,,,,
Nadd Hessa,2025-07-01,,,,,,,
