Area,Model,Dataset,Date,Actual,Predicted
Al Barsha South Fourth,ARIMA,Train,2024-12-01,13223.77,13570.46037037037
Al Barsha South Fourth,ARIMA,Test,2025-01-01,13956.92,13365.89037037037
Al Barsha South Fourth,ARIMA,Test,2025-02-01,14350.05,13508.010740740741
Al Barsha South Fourth,ARIMA,Test,2025-03-01,14817.45,13650.131111111112
Al Barsha South Fourth,ARIMA,Test,2025-04-01,14622.775,13792.251481481482
Al Barsha South Fourth,ARIMA,Test,2025-05-01,14934.06,13934.371851851853
Al Barsha South Fourth,ARIMA,Test,2025-06-01,15243.715,14076.492222222223
Al Barsha South Fourth,ARIMA,Test,2025-07-01,14374.744999999999,14218.612592592594
Al Barsha South Fourth,ARIMA,Test,2025-08-01,15459.58,14360.732962962964
Al Barsha South Fourth,SARIMA,Train,2022-09-01,9386.52,9386.52
Al Barsha South Fourth,SARIMA,Train,2022-10-01,9095.95,9386.520000000126
Al Barsha South Fourth,SARIMA,Train,2022-11-01,9430.78,9095.950000000048
Al Barsha South Fourth,SARIMA,Train,2022-12-01,10175.29,9430.780000000035
Al Barsha South Fourth,SARIMA,Train,2023-01-01,11341.27,10175.29000000005
Al Barsha South Fourth,SARIMA,Train,2023-02-01,10940.455,11341.270000000033
Al Barsha South Fourth,SARIMA,Train,2023-03-01,11045.91,10940.45499999998
Al Barsha South Fourth,SARIMA,Train,2023-04-01,11467.29,11045.910000000013
Al Barsha South Fourth,SARIMA,Train,2023-05-01,11153.235,11467.290000000025
Al Barsha South Fourth,SARIMA,Train,2023-06-01,11508.365,11153.235000000013
Al Barsha South Fourth,SARIMA,Train,2023-07-01,11765.46,11508.365000000065
Al Barsha South Fourth,SARIMA,Train,2023-08-01,12189.56,11765.46000000016
Al Barsha South Fourth,SARIMA,Train,2023-09-01,13009.52,19311.24993679715
Al Barsha South Fourth,SARIMA,Train,2023-10-01,12713.91,12641.093761048849
Al Barsha South Fourth,SARIMA,Train,2023-11-01,13026.82,13138.455402443507
Al Barsha South Fourth,SARIMA,Train,2023-12-01,13061.695,13970.81634911214
Al Barsha South Fourth,SARIMA,Train,2024-01-01,13131.48,14540.091345432225
Al Barsha South Fourth,SARIMA,Train,2024-02-01,13127.775,12623.269369290676
Al Barsha South Fourth,SARIMA,Train,2024-03-01,13063.665,13261.485944105012
Al Barsha South Fourth,SARIMA,Train,2024-04-01,13357.3,13597.950881437275
Al Barsha South Fourth,SARIMA,Train,2024-05-01,13311.68,12959.096116344419
Al Barsha South Fourth,SARIMA,Train,2024-06-01,12691.814999999999,13761.964648238698
Al Barsha South Fourth,SARIMA,Train,2024-07-01,13544.735,13017.796842251904
Al Barsha South Fourth,SARIMA,Train,2024-08-01,14508.05,14082.46968678519
Al Barsha South Fourth,SARIMA,Train,2024-09-01,13524.48,14316.071816751866
Al Barsha South Fourth,SARIMA,Train,2024-10-01,13198.13,13224.763183558633
Al Barsha South Fourth,SARIMA,Train,2024-11-01,13428.34,13493.17860785819
Al Barsha South Fourth,SARIMA,Train,2024-12-01,13223.77,12884.972800522268
Al Barsha South Fourth,SARIMA,Test,2025-01-01,13956.92,12400.326498225857
Al Barsha South Fourth,SARIMA,Test,2025-02-01,14350.05,12720.204410335045
Al Barsha South Fourth,SARIMA,Test,2025-03-01,14817.45,12517.925297263622
Al Barsha South Fourth,SARIMA,Test,2025-04-01,14622.775,12707.467982521135
Al Barsha South Fourth,SARIMA,Test,2025-05-01,14934.06,12880.580774473063
Al Barsha South Fourth,SARIMA,Test,2025-06-01,15243.715,11466.246429979354
Al Barsha South Fourth,SARIMA,Test,2025-07-01,14374.744999999999,12804.67117326826
Al Barsha South Fourth,SARIMA,Test,2025-08-01,15459.58,14207.362567599688
Al Barsha South Fourth,Prophet,Train,2022-09-01,9386.52,9351.674037830524
Al Barsha South Fourth,Prophet,Train,2022-10-01,9095.95,9143.255320357819
Al Barsha South Fourth,Prophet,Train,2022-11-01,9430.78,9625.067026510444
Al Barsha South Fourth,Prophet,Train,2022-12-01,10175.29,10042.349600878537
Al Barsha South Fourth,Prophet,Train,2023-01-01,11341.27,11267.91009437044
Al Barsha South Fourth,Prophet,Train,2023-02-01,10940.455,10774.93837039367
Al Barsha South Fourth,Prophet,Train,2023-03-01,11045.91,11117.783713768005
Al Barsha South Fourth,Prophet,Train,2023-04-01,11467.29,11535.385500606835
Al Barsha South Fourth,Prophet,Train,2023-05-01,11153.235,11208.21080433265
Al Barsha South Fourth,Prophet,Train,2023-06-01,11508.365,11541.008522634236
Al Barsha South Fourth,Prophet,Train,2023-07-01,11765.46,11773.529668682
Al Barsha South Fourth,Prophet,Train,2023-08-01,12189.56,12175.991669726838
Al Barsha South Fourth,Prophet,Train,2023-09-01,13009.52,13004.00507307939
Al Barsha South Fourth,Prophet,Train,2023-10-01,12713.91,12650.16770807841
Al Barsha South Fourth,Prophet,Train,2023-11-01,13026.82,12876.64061849519
Al Barsha South Fourth,Prophet,Train,2023-12-01,13061.695,13149.895781560157
Al Barsha South Fourth,Prophet,Train,2024-01-01,13131.48,13204.177239621828
Al Barsha South Fourth,Prophet,Train,2024-02-01,13127.775,13292.351675579754
Al Barsha South Fourth,Prophet,Train,2024-03-01,13063.665,12991.94403019068
Al Barsha South Fourth,Prophet,Train,2024-04-01,13357.3,13289.268605811323
Al Barsha South Fourth,Prophet,Train,2024-05-01,13311.68,13257.258787725748
Al Barsha South Fourth,Prophet,Train,2024-06-01,12691.814999999999,12659.685201938564
Al Barsha South Fourth,Prophet,Train,2024-07-01,13544.735,13537.258816150515
Al Barsha South Fourth,Prophet,Train,2024-08-01,14508.05,14522.038303750163
Al Barsha South Fourth,Prophet,Train,2024-09-01,13524.48,13565.119611724698
Al Barsha South Fourth,Prophet,Train,2024-10-01,13198.13,13214.432369842501
Al Barsha South Fourth,Prophet,Train,2024-11-01,13428.34,13383.745818426285
Al Barsha South Fourth,Prophet,Train,2024-12-01,13223.77,13267.979769901245
Al Barsha South Fourth,Prophet,Test,2025-01-01,13956.92,16045.465749881174
Al Barsha South Fourth,Prophet,Test,2025-02-01,14350.05,13806.344618422288
Al Barsha South Fourth,Prophet,Test,2025-03-01,14817.45,13968.626620068111
Al Barsha South Fourth,Prophet,Test,2025-04-01,14622.775,14243.963198925037
Al Barsha South Fourth,Prophet,Test,2025-05-01,14934.06,14048.793546358771
Al Barsha South Fourth,Prophet,Test,2025-06-01,15243.715,13698.09198674149
Al Barsha South Fourth,Prophet,Test,2025-07-01,14374.744999999999,14301.526742873004
Al Barsha South Fourth,Prophet,Test,2025-08-01,15459.58,15016.856340982844
Al Barshaa South Third,ARIMA,Train,2022-09-01,12485.23,12485.23
Al Barshaa South Third,ARIMA,Train,2022-10-01,12299.470000000001,12485.23
Al Barshaa South Third,ARIMA,Train,2022-11-01,10494.900000000001,12299.470000000001
Al Barshaa South Third,ARIMA,Train,2022-12-01,8983.35,10494.900000000001
Al Barshaa South Third,ARIMA,Train,2023-01-01,10565.11,8983.35
Al Barshaa South Third,ARIMA,Train,2023-02-01,11256.145,10565.11
Al Barshaa South Third,ARIMA,Train,2023-03-01,11121.37,11256.145
Al Barshaa South Third,ARIMA,Train,2023-04-01,11486.759999999998,11121.37
Al Barshaa South Third,ARIMA,Train,2023-05-01,14704.015,11486.759999999998
Al Barshaa South Third,ARIMA,Train,2023-06-01,14085.275,14704.015
Al Barshaa South Third,ARIMA,Train,2023-07-01,12788.99,14085.275
Al Barshaa South Third,ARIMA,Train,2023-08-01,14962.67,12788.99
Al Barshaa South Third,ARIMA,Train,2023-09-01,14823.86,14962.67
Al Barshaa South Third,ARIMA,Train,2023-10-01,12006.47,14823.86
Al Barshaa South Third,ARIMA,Train,2023-11-01,12594.77,12006.47
Al Barshaa South Third,ARIMA,Train,2023-12-01,11662.95,12594.77
Al Barshaa South Third,ARIMA,Train,2024-01-01,12682.75,11662.95
Al Barshaa South Third,ARIMA,Train,2024-02-01,13696.33,12682.75
Al Barshaa South Third,ARIMA,Train,2024-03-01,13450.48,13696.33
Al Barshaa South Third,ARIMA,Train,2024-04-01,13796.74,13450.48
Al Barshaa South Third,ARIMA,Train,2024-05-01,13621.59,13796.74
Al Barshaa South Third,ARIMA,Train,2024-06-01,14070.19,13621.59
Al Barshaa South Third,ARIMA,Train,2024-07-01,14241.63,14070.19
Al Barshaa South Third,ARIMA,Train,2024-08-01,14255.015,14241.63
Al Barshaa South Third,ARIMA,Train,2024-09-01,13539.325,14255.015
Al Barshaa South Third,ARIMA,Train,2024-10-01,14221.39,13539.325
