Area,Model,Dataset,RMSE,MAE,MAPE
Al Barshaa South Third,HWES+SARIMAX,Train,542.6452798851464,406.8476315577282,3.278363498969133
Al Barshaa South Third,HWES+SARIMAX,Test,1650.7703841901362,1388.9978770708776,9.880491123802216
Al Hebiah First,HWES+SARIMAX,Train,2415.9517137991465,1777.2704755848454,18.893997736465533
Al Hebiah First,HWES+SARIMAX,Test,3333.8011411932753,2961.520327624521,14.377178492886674
Al Hebiah Fourth,HWES+SARIMAX,Train,1299.1171813364851,996.0312027858764,11.283304348210859
Al Hebiah Fourth,HWES+SARIMAX,Test,1084.3308947669782,866.0465840103158,7.482125301225412
Al Khairan First,HWES+SARIMAX,Train,590.1961181587272,404.72987785156863,1.8677285805380073
Al Khairan First,HWES+SARIMAX,Test,1378.6676426502033,1265.5809444176018,5.166493075505652
Al Merkadh,HWES+SARIMAX,Train,633.7996373542427,427.98175789621683,2.257857215592213
Al Merkadh,HWES+SARIMAX,Test,1477.0820837713882,1113.129414920004,5.319867299879669
Al Thanyah Fifth,HWES+SARIMAX,Train,2235.4895176962796,1750.1358617453297,11.574664874120222
Al Thanyah Fifth,HWES+SARIMAX,Test,5515.5504467343035,4589.593273490675,23.025635351865382
Al Warsan First,HWES+SARIMAX,Train,104.20693047532563,68.93227902589746,1.2950756013892482
Al Warsan First,HWES+SARIMAX,Test,345.03050336348383,292.12156629794936,4.394061406691835
Al Yelayiss 2,HWES+SARIMAX,Train,522.903936366855,333.80782809412847,3.0316086953181545
Al Yelayiss 2,HWES+SARIMAX,Test,595.6151603926567,332.89582046663844,2.31569245017357
Burj Khalifa,HWES+SARIMAX,Train,689.1410445403673,552.0898525856308,2.5662381440574054
Burj Khalifa,HWES+SARIMAX,Test,1616.3276337386665,1392.9197593548568,6.765019008997688
Business Bay,HWES+SARIMAX,Train,1024.8340298702974,748.4489406470299,3.464898091417998
Business Bay,HWES+SARIMAX,Test,2350.1838281861415,1807.5474697828904,7.29280051627402
Hadaeq Sheikh Mohammed Bin Rashid,HWES+SARIMAX,Train,532.2597160341924,395.85833293610204,1.8857916663603143
Hadaeq Sheikh Mohammed Bin Rashid,HWES+SARIMAX,Test,921.1931469303488,817.8912302443896,3.238308585723712
Jabal Ali First,HWES+SARIMAX,Train,699.9167847689798,517.319016785438,4.764261906848101
Jabal Ali First,HWES+SARIMAX,Test,1623.693157382693,1020.772504364515,6.391724168404622
Madinat Al Mataar,HWES+SARIMAX,Train,2683.3778870806696,1961.7457992542318,19.62335095295137
Madinat Al Mataar,HWES+SARIMAX,Test,4175.201970375819,3921.8596269438276,22.288695428647628
Madinat Dubai Almelaheyah,HWES+SARIMAX,Train,744.4227612798799,531.1635119056668,2.4589918416976824
Madinat Dubai Almelaheyah,HWES+SARIMAX,Test,3474.3952774099266,3416.477239247686,11.467861500154864
Marsa Dubai,HWES+SARIMAX,Train,1142.5209155426342,803.2947726464494,5.115375781757522
Marsa Dubai,HWES+SARIMAX,Test,3258.202243201611,3137.7560757528936,16.70894814594892
Me'Aisem First,HWES+SARIMAX,Train,499.94652845834673,362.4656855251236,4.0137495399873035
Me'Aisem First,HWES+SARIMAX,Test,837.7402379612172,701.8133049601435,4.927923281305372
Nadd Hessa,HWES+SARIMAX,Train,1324.0771338700813,939.7651001569897,10.748599852323917
Nadd Hessa,HWES+SARIMAX,Test,2283.382951264611,2127.218119527454,15.09523315689854
Palm Jumeirah,HWES+SARIMAX,Train,1892.9224342729347,1455.5050203050355,6.999238593725482
Palm Jumeirah,HWES+SARIMAX,Test,5265.76702899916,5160.534242575669,22.840523155129148
Wadi Al Safa 5,HWES+SARIMAX,Train,918.2092471149062,624.8058192096812,8.985893627236079
Wadi Al Safa 5,HWES+SARIMAX,Test,4292.149514697447,3986.2678063689855,28.571002717996002
